    77/299    0.856G   0.02694   0.01885         0   0.04579         6       640    0.8891    0.9018    0.9406    0.5271   0.02431   0.01175         0
    78/299    0.856G    0.0277   0.01879         0   0.04649         8       640    0.8902    0.9124    0.9394    0.5295   0.02383   0.01125         0
    79/299    0.856G   0.02783   0.01964         0   0.04748         1       640     0.918    0.8962    0.9366    0.5275   0.02465    0.0118         0
    80/299    0.856G   0.02744   0.01945         0   0.04689         3       640    0.9015    0.9149    0.9333    0.5216   0.02506   0.01158         0
    81/299    0.856G   0.02757   0.01926         0   0.04683         2       640    0.8949    0.9149    0.9442    0.5293   0.02426   0.01127         0
    82/299    0.856G   0.02734   0.01857         0   0.04591         9       640    0.8857      0.93    0.9367    0.5328   0.02364   0.01114         0
    83/299    0.856G   0.02759   0.01926         0   0.04685         3       640     0.868    0.9375    0.9335    0.5307   0.02407   0.01136         0
    84/299    0.856G   0.02697   0.01833         0    0.0453         1       640    0.8673     0.915    0.9269     0.511   0.02456   0.01206         0
    85/299    0.856G   0.02688   0.01913         0   0.04601         5       640    0.9218     0.885    0.9422    0.5281   0.02381   0.01162         0
    86/299    0.856G   0.02688   0.01832         0   0.04519         1       640    0.9156    0.8975    0.9381    0.5241   0.02415   0.01159         0
    87/299    0.856G   0.02737   0.01936         0   0.04673         4       640    0.8896    0.9075    0.9406    0.5298   0.02368   0.01167         0
    88/299    0.856G   0.02655    0.0186         0   0.04515         8       640    0.9276    0.8964    0.9453    0.5421   0.02376   0.01151         0
    89/299    0.856G   0.02648   0.01913         0   0.04561         6       640    0.9333    0.9099    0.9535    0.5446   0.02355   0.01131         0
    90/299    0.856G   0.02712   0.01861         0   0.04573         7       640    0.8967    0.9125     0.945    0.5418   0.02377   0.01115         0
    91/299    0.856G   0.02685   0.01887         0   0.04572         1       640    0.9115    0.9025     0.942    0.5401   0.02378   0.01136         0
    92/299    0.856G   0.02735   0.01901         0   0.04636         7       640    0.9038      0.94    0.9513    0.5402   0.02393   0.01108         0
    93/299    0.856G   0.02582   0.01838         0    0.0442         4       640    0.9066    0.9222     0.946    0.5454   0.02352   0.01101         0
    94/299    0.856G   0.02611   0.01851         0   0.04462         2       640    0.9182    0.8975    0.9495    0.5419   0.02426    0.0114         0
    95/299    0.856G   0.02682   0.01898         0   0.04581         3       640    0.8778    0.9225    0.9442    0.5424   0.02332   0.01135         0
    96/299    0.856G    0.0271   0.01952         0   0.04663         8       640    0.9219    0.9149    0.9543    0.5459   0.02351   0.01113         0
    97/299    0.856G   0.02708    0.0193         0   0.04638         4       640    0.9009     0.935    0.9488    0.5419    0.0237   0.01148         0
